,FinalID,Consumer,OriginalTraitName,OriginalTraitValue,OriginalTraitUnit,StandardisedTraitValue,StandardisedTraitUnit,ConTemp,ConTempUnit,ConKingdom,ConPhylum,ConClass,ConOrder,ConFamily,ConGenus,ConSpecies,ConSize,ConSizeUnit,GenusSpecies
50122,MTD5270,Natrialba asiatica,log Growth Rate,-1.2923,log(h-1),7.63e-05,s^-1,25.0781,Celsius,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natrialba,asiatica,,,Natrialba asiatica
50123,MTD5270,Natrialba asiatica,log Growth Rate,-1.45746,log(h-1),6.47e-05,s^-1,23.0948,Celsius,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natrialba,asiatica,,,Natrialba asiatica
50124,MTD5271,Natrinema pellirubrum,log Growth Rate,-0.726287,log(h-1),0.00013436,s^-1,57.1169,Celsius,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natrinema,pellirubrum,,,Natrinema pellirubrum
50125,MTD5271,Natrinema pellirubrum,log Growth Rate,-0.552846,log(h-1),0.00015981,s^-1,55.2338,Celsius,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natrinema,pellirubrum,,,Natrinema pellirubrum
50126,MTD5271,Natrinema pellirubrum,log Growth Rate,-0.44444399999999995,log(h-1),0.00017811,s^-1,53.0909,Celsius,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natrinema,pellirubrum,,,Natrinema pellirubrum
50127,MTD5271,Natrinema pellirubrum,log Growth Rate,-0.41192399999999996,log(h-1),0.00018399,s^-1,51.2078,Celsius,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natrinema,pellirubrum,,,Natrinema pellirubrum
50128,MTD5271,Natrinema pellirubrum,log Growth Rate,-0.466125,log(h-1),0.00017429,s^-1,49.2597,Celsius,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natrinema,pellirubrum,,,Natrinema pellirubrum
50129,MTD5271,Natrinema pellirubrum,log Growth Rate,-0.525745,log(h-1),0.00016419999999999998,s^-1,47.0519,Celsius,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natrinema,pellirubrum,,,Natrinema pellirubrum
50130,MTD5271,Natrinema pellirubrum,log Growth Rate,-0.579946,log(h-1),0.00015554,s^-1,45.2338,Celsius,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natrinema,pellirubrum,,,Natrinema pellirubrum
50131,MTD5271,Natrinema pellirubrum,log Growth Rate,-0.650406,log(h-1),0.00014495,s^-1,43.2857,Celsius,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natrinema,pellirubrum,,,Natrinema pellirubrum
50132,MTD5271,Natrinema pellirubrum,log Growth Rate,-0.704607,log(h-1),0.00013731,s^-1,41.0779,Celsius,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natrinema,pellirubrum,,,Natrinema pellirubrum
50133,MTD5271,Natrinema pellirubrum,log Growth Rate,-0.7371270000000001,log(h-1),0.00013291,s^-1,39.2597,Celsius,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natrinema,pellirubrum,,,Natrinema pellirubrum
50134,MTD5271,Natrinema pellirubrum,log Growth Rate,-0.802168,log(h-1),0.00012454,s^-1,37.2468,Celsius,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natrinema,pellirubrum,,,Natrinema pellirubrum
50135,MTD5271,Natrinema pellirubrum,log Growth Rate,-0.8726290000000001,log(h-1),0.00011607,s^-1,35.1039,Celsius,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natrinema,pellirubrum,,,Natrinema pellirubrum
50136,MTD5271,Natrinema pellirubrum,log Growth Rate,-0.95935,log(h-1),0.00010643,s^-1,33.025999999999996,Celsius,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natrinema,pellirubrum,,,Natrinema pellirubrum
50137,MTD5271,Natrinema pellirubrum,log Growth Rate,-1.0352299999999999,log(h-1),9.87e-05,s^-1,31.013,Celsius,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natrinema,pellirubrum,,,Natrinema pellirubrum
50138,MTD5271,Natrinema pellirubrum,log Growth Rate,-1.11111,log(h-1),9.14e-05,s^-1,29.1299,Celsius,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natrinema,pellirubrum,,,Natrinema pellirubrum
50139,MTD5271,Natrinema pellirubrum,log Growth Rate,-1.21951,log(h-1),8.2e-05,s^-1,26.987,Celsius,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natrinema,pellirubrum,,,Natrinema pellirubrum
50140,MTD5271,Natrinema pellirubrum,log Growth Rate,-1.34417,log(h-1),7.240000000000001e-05,s^-1,24.974,Celsius,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natrinema,pellirubrum,,,Natrinema pellirubrum
50141,MTD5271,Natrinema pellirubrum,log Growth Rate,-1.45799,log(h-1),6.459999999999998e-05,s^-1,23.026,Celsius,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natrinema,pellirubrum,,,Natrinema pellirubrum
50142,MTD5272,Natronobacterium gregoryi,log Growth Rate,-0.7282609999999999,log(h-1),0.0001341,s^-1,52.1373,Celsius,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natronobacterium,gregoryi,,,Natronobacterium gregoryi
50143,MTD5272,Natronobacterium gregoryi,log Growth Rate,-0.663043,log(h-1),0.00014313,s^-1,51.2222,Celsius,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natronobacterium,gregoryi,,,Natronobacterium gregoryi
50144,MTD5272,Natronobacterium gregoryi,log Growth Rate,-0.565217,log(h-1),0.00015784,s^-1,49.0654,Celsius,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natronobacterium,gregoryi,,,Natronobacterium gregoryi
50145,MTD5272,Natronobacterium gregoryi,log Growth Rate,-0.451087,log(h-1),0.00017693,s^-1,47.1046,Celsius,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natronobacterium,gregoryi,,,Natronobacterium gregoryi
50146,MTD5272,Natronobacterium gregoryi,log Growth Rate,-0.5108699999999999,log(h-1),0.00016666,s^-1,45.1438,Celsius,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natronobacterium,gregoryi,,,Natronobacterium gregoryi
50147,MTD5272,Natronobacterium gregoryi,log Growth Rate,-0.565217,log(h-1),0.00015784,s^-1,43.1176,Celsius,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natronobacterium,gregoryi,,,Natronobacterium gregoryi
50148,MTD5272,Natronobacterium gregoryi,log Growth Rate,-0.608696,log(h-1),0.00015113,s^-1,41.0915,Celsius,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natronobacterium,gregoryi,,,Natronobacterium gregoryi
50149,MTD5272,Natronobacterium gregoryi,log Growth Rate,-0.657609,log(h-1),0.00014391,s^-1,39.1961,Celsius,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natronobacterium,gregoryi,,,Natronobacterium gregoryi
50150,MTD5272,Natronobacterium gregoryi,log Growth Rate,-0.7554350000000001,log(h-1),0.0001305,s^-1,37.1699,Celsius,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natronobacterium,gregoryi,,,Natronobacterium gregoryi
50151,MTD5272,Natronobacterium gregoryi,log Growth Rate,-0.782609,log(h-1),0.000127,s^-1,35.2092,Celsius,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natronobacterium,gregoryi,,,Natronobacterium gregoryi
50152,MTD5272,Natronobacterium gregoryi,log Growth Rate,-0.86413,log(h-1),0.00011706,s^-1,33.3137,Celsius,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natronobacterium,gregoryi,,,Natronobacterium gregoryi
50153,MTD5272,Natronobacterium gregoryi,log Growth Rate,-0.945652,log(h-1),0.0001079,s^-1,31.0915,Celsius,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natronobacterium,gregoryi,,,Natronobacterium gregoryi
50154,MTD5272,Natronobacterium gregoryi,log Growth Rate,-1.1195700000000002,log(h-1),9.070000000000001e-05,s^-1,29.1961,Celsius,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natronobacterium,gregoryi,,,Natronobacterium gregoryi
50155,MTD5272,Natronobacterium gregoryi,log Growth Rate,-1.2282600000000001,log(h-1),8.13e-05,s^-1,26.9739,Celsius,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natronobacterium,gregoryi,,,Natronobacterium gregoryi
50156,MTD5272,Natronobacterium gregoryi,log Growth Rate,-1.40761,log(h-1),6.8e-05,s^-1,25.0784,Celsius,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natronobacterium,gregoryi,,,Natronobacterium gregoryi
50157,MTD5272,Natronobacterium gregoryi,log Growth Rate,-1.5,log(h-1),6.2e-05,s^-1,23.1176,Celsius,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natronobacterium,gregoryi,,,Natronobacterium gregoryi
50158,MTD5273,Natronococcus occultus,log Growth Rate,-0.75471,log(h-1),0.0001306,s^-1,54.099,Celsius,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natronococcus,occultus,,,Natronococcus occultus
50159,MTD5273,Natronococcus occultus,log Growth Rate,-0.765918,log(h-1),0.00012914,s^-1,53.1767,Celsius,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natronococcus,occultus,,,Natronococcus occultus
50160,MTD5273,Natronococcus occultus,log Growth Rate,-0.7440399999999999,log(h-1),0.000132,s^-1,51.1334,Celsius,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natronococcus,occultus,,,Natronococcus occultus
50161,MTD5273,Natronococcus occultus,log Growth Rate,-0.661212,log(h-1),0.00014340000000000002,s^-1,49.1549,Celsius,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natronococcus,occultus,,,Natronococcus occultus
50162,MTD5273,Natronococcus occultus,log Growth Rate,-0.650396,log(h-1),0.00014496,s^-1,47.2436,Celsius,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natronococcus,occultus,,,Natronococcus occultus
50163,MTD5273,Natronococcus occultus,log Growth Rate,-0.584206,log(h-1),0.00015488,s^-1,45.1336,Celsius,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natronococcus,occultus,,,Natronococcus occultus
50164,MTD5273,Natronococcus occultus,log Growth Rate,-0.673104,log(h-1),0.00014169999999999997,s^-1,43.2902,Celsius,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natronococcus,occultus,,,Natronococcus occultus
50165,MTD5273,Natronococcus occultus,log Growth Rate,-0.767588,log(h-1),0.00012893,s^-1,41.1174,Celsius,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natronococcus,occultus,,,Natronococcus occultus
50166,MTD5273,Natronococcus occultus,log Growth Rate,-0.801093,log(h-1),0.00012468,s^-1,39.207,Celsius,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natronococcus,occultus,,,Natronococcus occultus
50167,MTD5273,Natronococcus occultus,log Growth Rate,-0.8235370000000001,log(h-1),0.00012191,s^-1,37.1646,Celsius,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natronococcus,occultus,,,Natronococcus occultus
50168,MTD5273,Natronococcus occultus,log Growth Rate,-0.901373,log(h-1),0.00011278,s^-1,35.1892,Celsius,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natronococcus,occultus,,,Natronococcus occultus
50169,MTD5273,Natronococcus occultus,log Growth Rate,-0.9515440000000001,log(h-1),0.00010726,s^-1,32.9497,Celsius,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natronococcus,occultus,,,Natronococcus occultus
50170,MTD5273,Natronococcus occultus,log Growth Rate,-1.0238200000000002,log(h-1),9.98e-05,s^-1,31.105999999999998,Celsius,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natronococcus,occultus,,,Natronococcus occultus
50171,MTD5273,Natronococcus occultus,log Growth Rate,-1.1626299999999998,log(h-1),8.690000000000001e-05,s^-1,28.934,Celsius,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natronococcus,occultus,,,Natronococcus occultus
50172,MTD5273,Natronococcus occultus,log Growth Rate,-1.3512600000000001,log(h-1),7.190000000000001e-05,s^-1,27.0267,Celsius,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natronococcus,occultus,,,Natronococcus occultus
50173,MTD5273,Natronococcus occultus,log Growth Rate,-1.54544,log(h-1),5.920000000000001e-05,s^-1,24.9877,Celsius,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natronococcus,occultus,,,Natronococcus occultus
50174,MTD5273,Natronococcus occultus,log Growth Rate,-1.6676,log(h-1),5.24e-05,s^-1,23.0131,Celsius,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natronococcus,occultus,,,Natronococcus occultus
50175,MTD5274,Natronomonas pharaonis,log Growth Rate,-1.00209,log(h-1),0.00010198,s^-1,55.8588,Celsius,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Natronomonas,pharaonis,,,Natronomonas pharaonis
50176,MTD5274,Natronomonas pharaonis,log Growth Rate,-0.937631,log(h-1),0.00010877,s^-1,54.9388,Celsius,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Natronomonas,pharaonis,,,Natronomonas pharaonis
50177,MTD5274,Natronomonas pharaonis,log Growth Rate,-0.770119,log(h-1),0.0001286,s^-1,53.0337,Celsius,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Natronomonas,pharaonis,,,Natronomonas pharaonis
50178,MTD5274,Natronomonas pharaonis,log Growth Rate,-0.673337,log(h-1),0.00014167,s^-1,51.0617,Celsius,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Natronomonas,pharaonis,,,Natronomonas pharaonis
50179,MTD5274,Natronomonas pharaonis,log Growth Rate,-0.627993,log(h-1),0.00014824,s^-1,49.023,Celsius,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Natronomonas,pharaonis,,,Natronomonas pharaonis
50180,MTD5274,Natronomonas pharaonis,log Growth Rate,-0.556945,log(h-1),0.00015916,s^-1,47.1163,Celsius,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Natronomonas,pharaonis,,,Natronomonas pharaonis
50181,MTD5274,Natronomonas pharaonis,log Growth Rate,-0.447291,log(h-1),0.0001776,s^-1,45.0786,Celsius,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Natronomonas,pharaonis,,,Natronomonas pharaonis
50182,MTD5274,Natronomonas pharaonis,log Growth Rate,-0.46625600000000006,log(h-1),0.00017426,s^-1,43.0388,Celsius,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Natronomonas,pharaonis,,,Natronomonas pharaonis
50183,MTD5274,Natronomonas pharaonis,log Growth Rate,-0.54311,log(h-1),0.00016137,s^-1,41.0639,Celsius,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Natronomonas,pharaonis,,,Natronomonas pharaonis
50184,MTD5274,Natronomonas pharaonis,log Growth Rate,-0.639257,log(h-1),0.00014658,s^-1,39.0886,Celsius,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Natronomonas,pharaonis,,,Natronomonas pharaonis
50185,MTD5274,Natronomonas pharaonis,log Growth Rate,-0.76115,log(h-1),0.00012976,s^-1,37.2444,Celsius,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Natronomonas,pharaonis,,,Natronomonas pharaonis
50186,MTD5274,Natronomonas pharaonis,log Growth Rate,-0.9022610000000001,log(h-1),0.00011268,s^-1,34.9394,Celsius,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Natronomonas,pharaonis,,,Natronomonas pharaonis
50187,MTD5274,Natronomonas pharaonis,log Growth Rate,-1.02415,log(h-1),9.98e-05,s^-1,33.0952,Celsius,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Natronomonas,pharaonis,,,Natronomonas pharaonis
50188,MTD5274,Natronomonas pharaonis,log Growth Rate,-1.0817,log(h-1),9.42e-05,s^-1,31.0548,Celsius,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Natronomonas,pharaonis,,,Natronomonas pharaonis
50189,MTD5274,Natronomonas pharaonis,log Growth Rate,-1.21644,log(h-1),8.23e-05,s^-1,29.0789,Celsius,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Natronomonas,pharaonis,,,Natronomonas pharaonis
50190,MTD5274,Natronomonas pharaonis,log Growth Rate,-1.31902,log(h-1),7.43e-05,s^-1,27.1034,Celsius,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Natronomonas,pharaonis,,,Natronomonas pharaonis
50191,MTD5274,Natronomonas pharaonis,log Growth Rate,-1.49878,log(h-1),6.21e-05,s^-1,25.1925,Celsius,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Natronomonas,pharaonis,,,Natronomonas pharaonis
50192,MTD5274,Natronomonas pharaonis,log Growth Rate,-1.60774,log(h-1),5.56e-05,s^-1,22.9538,Celsius,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Natronomonas,pharaonis,,,Natronomonas pharaonis
50193,MTD5275,Natronorubrum bangense,log Growth Rate,-0.691261,log(h-1),0.00013915,s^-1,50.0369,Celsius,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natronorubrum,bangense,,,Natronorubrum bangense
50194,MTD5275,Natronorubrum bangense,log Growth Rate,-0.6288159999999999,log(h-1),0.00014812,s^-1,48.9867,Celsius,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natronorubrum,bangense,,,Natronorubrum bangense
50195,MTD5275,Natronorubrum bangense,log Growth Rate,-0.594378,log(h-1),0.00015331,s^-1,47.0801,Celsius,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natronorubrum,bangense,,,Natronorubrum bangense
50196,MTD5275,Natronorubrum bangense,log Growth Rate,-0.5825020000000001,log(h-1),0.00015514,s^-1,45.0411,Celsius,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natronorubrum,bangense,,,Natronorubrum bangense
50197,MTD5275,Natronorubrum bangense,log Growth Rate,-0.581963,log(h-1),0.00015522,s^-1,43.1332,Celsius,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natronorubrum,bangense,,,Natronorubrum bangense
50198,MTD5275,Natronorubrum bangense,log Growth Rate,-0.649147,log(h-1),0.00014514,s^-1,40.9596,Celsius,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natronorubrum,bangense,,,Natronorubrum bangense
50199,MTD5275,Natronorubrum bangense,log Growth Rate,-0.772903,log(h-1),0.00012824,s^-1,39.047,Celsius,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natronorubrum,bangense,,,Natronorubrum bangense
50200,MTD5275,Natronorubrum bangense,log Growth Rate,-0.868373,log(h-1),0.00011657,s^-1,37.0038,Celsius,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natronorubrum,bangense,,,Natronorubrum bangense
50201,MTD5275,Natronorubrum bangense,log Growth Rate,-0.941263,log(h-1),0.00010837,s^-1,35.0274,Celsius,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natronorubrum,bangense,,,Natronorubrum bangense
50202,MTD5275,Natronorubrum bangense,log Growth Rate,-1.0198,log(h-1),0.00010019,s^-1,33.0507,Celsius,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natronorubrum,bangense,,,Natronorubrum bangense
50203,MTD5275,Natronorubrum bangense,log Growth Rate,-1.13783,log(h-1),8.9e-05,s^-1,30.8751,Celsius,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natronorubrum,bangense,,,Natronorubrum bangense
50204,MTD5275,Natronorubrum bangense,log Growth Rate,-1.21076,log(h-1),8.28e-05,s^-1,29.0302,Celsius,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natronorubrum,bangense,,,Natronorubrum bangense
50205,MTD5275,Natronorubrum bangense,log Growth Rate,-1.36277,log(h-1),7.11e-05,s^-1,27.1165,Celsius,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natronorubrum,bangense,,,Natronorubrum bangense
50206,MTD5275,Natronorubrum bangense,log Growth Rate,-1.526,log(h-1),6.04e-05,s^-1,24.9392,Celsius,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natronorubrum,bangense,,,Natronorubrum bangense
50207,MTD5275,Natronorubrum bangense,log Growth Rate,-1.67235,log(h-1),5.22e-05,s^-1,23.0257,Celsius,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natronorubrum,bangense,,,Natronorubrum bangense
