index,GenusSpecies,MinWidth,MaxWidth,MinLength,MaxLength,SizeUnit,MinVolume,MaxVolume,AverageVolume,VolumeUnit,Shape,Phylum,Sources,Notes
0,Haloarcula vallismortis,0.6,1.0,3.0,5.0,um,7.92e-19,3.67e-18,2.23e-18,m^3,rod,Euryarchaeota,http://www.microbiologyresearch.org/docserver/fulltext/ijsem/40/2/ijs-40-2-209.pdf?expires=1527009437&id=id&accname=guest&checksum=96A42DD1DAE75BB730F115177803E8B6,
1,Halobacterium salinarum,0.5,1.0,5.0,10.0,um,9.49e-19,7.59e-18,4.27e-18,m^3,rod,Euryarchaeota,https://books.google.co.uk/books?id=swciHNNWZDEC&pg=PA118&dq=Halobacterium+cell+size&hl=en&sa=X&ved=0ahUKEwj6ksfXnZrbAhUOe8AKHSmQC2gQ6AEIOTAD#v=onepage&q=Halobacterium%20cell%20size&f=false,pg.118
2,Halobaculum gomorrense,0.5,1.0,5.0,10.0,um,9.49e-19,7.59e-18,4.27e-18,m^3,rod,Euryarchaeota,"The Prokaryotes: Volume 3: Archaea. Bacteria: Firmicutes, Actinomycetes (vol 3)  by Ralph S. Wolfe (auth.), Martin Dworkin Professor Dr., Stanley Falkow, Eugene Rosenberg, Karl-Heinz Schleifer, Erko Stackebrandt (eds.) ",pg.118
3,Halococcus morrhuae,0.8,1.5,,,um,2.68e-19,1.77e-18,1.02e-18,m^3,Spherical,Euryarchaeota,"The Prokaryotes: Volume 3: Archaea. Bacteria: Firmicutes, Actinomycetes (vol 3)  by Ralph S. Wolfe (auth.), Martin Dworkin Professor Dr., Stanley Falkow, Eugene Rosenberg, Karl-Heinz Schleifer, Erko Stackebrandt (eds.) ",pg.122
4,Haloferax volcanii,1.0,3.0,2.0,3.0,um,1.57e-18,2.12e-17,1.14e-17,m^3,cylindrical,Euryarchaeota,"The Prokaryotes: Volume 3: Archaea. Bacteria: Firmicutes, Actinomycetes (vol 3)  by Ralph S. Wolfe (auth.), Martin Dworkin Professor Dr., Stanley Falkow, Eugene Rosenberg, Karl-Heinz Schleifer, Erko Stackebrandt (eds.) ",pg.124
5,Halogeometricum borinquense,1.0,2.0,1.0,3.0,um,7.85e-19,9.42e-18,5.11e-18,m^3,cylindrical,Euryarchaeota,"The Prokaryotes: Volume 3: Archaea. Bacteria: Firmicutes, Actinomycetes (vol 3)  by Ralph S. Wolfe (auth.), Martin Dworkin Professor Dr., Stanley Falkow, Eugene Rosenberg, Karl-Heinz Schleifer, Erko Stackebrandt (eds.) ",pg.122
6,Halorubrum saccharovorum,0.5,0.5,2.5,5.0,um,4.58e-19,9.49e-19,7.04e-19,m^3,rod,Euryarchaeota,"The Prokaryotes: Volume 3: Archaea. Bacteria: Firmicutes, Actinomycetes (vol 3)  by Ralph S. Wolfe (auth.), Martin Dworkin Professor Dr., Stanley Falkow, Eugene Rosenberg, Karl-Heinz Schleifer, Erko Stackebrandt (eds.) ",pg.118
7,Haloterrigena turkmenica,1.5,2.0,,,um,1.77e-18,4.19e-18,2.98e-18,m^3,Spherical,Euryarchaeota,"The Prokaryotes: Volume 3: Archaea. Bacteria: Firmicutes, Actinomycetes (vol 3)  by Ralph S. Wolfe (auth.), Martin Dworkin Professor Dr., Stanley Falkow, Eugene Rosenberg, Karl-Heinz Schleifer, Erko Stackebrandt (eds.) ",pg.126
8,Methanobacterium subterraneum,0.1,1.15,0.6,1.2,um,4.45e-21,8.48e-19,4.26e-19,m^3,rod,Euryarchaeota,"The Prokaryotes: Volume 3: Archaea. Bacteria: Firmicutes, Actinomycetes (vol 3)  by Ralph S. Wolfe (auth.), Martin Dworkin Professor Dr., Stanley Falkow, Eugene Rosenberg, Karl-Heinz Schleifer, Erko Stackebrandt (eds.) ",pg.234
9,Methanocaldococcus jannaschii,1.5,1.5,,,um,1.77e-18,1.77e-18,1.77e-18,m^3,Spherical,Euryarchaeota,"The Prokaryotes: Volume 3: Archaea. Bacteria: Firmicutes, Actinomycetes (vol 3)  by Ralph S. Wolfe (auth.), Martin Dworkin Professor Dr., Stanley Falkow, Eugene Rosenberg, Karl-Heinz Schleifer, Erko Stackebrandt (eds.) ",pg.267
10,Methanocaldococcus vulcanius,1.0,3.0,,,um,5.24e-19,1.41e-17,7.33e-18,m^3,Spherical,Euryarchaeota,"The Prokaryotes: Volume 3: Archaea. Bacteria: Firmicutes, Actinomycetes (vol 3)  by Ralph S. Wolfe (auth.), Martin Dworkin Professor Dr., Stanley Falkow, Eugene Rosenberg, Karl-Heinz Schleifer, Erko Stackebrandt (eds.) ",pg.267
11,Methanoculleus submarinus,0.8,2.0,,,um,2.68e-19,4.19e-18,2.23e-18,m^3,Spherical,Euryarchaeota,http://www.microbiologyresearch.org/docserver/fulltext/ijsem/65/7/2141_ijs000233.pdf?expires=1527082919&id=id&accname=guest&checksum=6D3AF1C0ABD8AB386AD26E5D0AF0D092,
12,Methanogenium frigidum,1.2,2.5,,,um,9.05e-19,8.18e-18,4.54e-18,m^3,Spherical,Euryarchaeota,"The Prokaryotes: Volume 3: Archaea. Bacteria: Firmicutes, Actinomycetes (vol 3)  by Ralph S. Wolfe (auth.), Martin Dworkin Professor Dr., Stanley Falkow, Eugene Rosenberg, Karl-Heinz Schleifer, Erko Stackebrandt (eds.) ",pg.216
13,Methanohalophilus portucalensis,0.6,2.0,,,um,1.13e-19,4.19e-18,2.15e-18,m^3,Spherical,Euryarchaeota,"The Prokaryotes: Volume 3: Archaea. Bacteria: Firmicutes, Actinomycetes (vol 3)  by Ralph S. Wolfe (auth.), Martin Dworkin Professor Dr., Stanley Falkow, Eugene Rosenberg, Karl-Heinz Schleifer, Erko Stackebrandt (eds.) ",pg.251
14,Methanopyrus kandleri,0.5,0.7,6.0,8.0,um,1.15e-18,2.99e-18,2.07e-18,m^3,rod,Euryarchaeota,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2490668/,
15,Methanothermococcus okinawensis,1.0,1.5,,,um,5.24e-19,1.77e-18,1.15e-18,m^3,Spherical,Euryarchaeota,"The Prokaryotes: Volume 3: Archaea. Bacteria: Firmicutes, Actinomycetes (vol 3)  by Ralph S. Wolfe (auth.), Martin Dworkin Professor Dr., Stanley Falkow, Eugene Rosenberg, Karl-Heinz Schleifer, Erko Stackebrandt (eds.) ",pg.265
16,Natrialba asiatica,0.5,0.5,1.0,5.0,um,1.64e-19,9.49e-19,5.56e-19,m^3,rod,Euryarchaeota,"The Prokaryotes: Volume 3: Archaea. Bacteria: Firmicutes, Actinomycetes (vol 3)  by Ralph S. Wolfe (auth.), Martin Dworkin Professor Dr., Stanley Falkow, Eugene Rosenberg, Karl-Heinz Schleifer, Erko Stackebrandt (eds.) ",pg.122
17,Natrinema pellirubrum,0.6,1.0,1.0,4.0,um,2.26e-19,2.88e-18,1.55e-18,m^3,rod,Euryarchaeota,"The Prokaryotes: Volume 3: Archaea. Bacteria: Firmicutes, Actinomycetes (vol 3)  by Ralph S. Wolfe (auth.), Martin Dworkin Professor Dr., Stanley Falkow, Eugene Rosenberg, Karl-Heinz Schleifer, Erko Stackebrandt (eds.) ",pg.126
18,Natronobacterium gregoryi,0.5,0.7,10.0,15.0,um,1.93e-18,5.68e-18,3.81e-18,m^3,rod,Euryarchaeota,"The Prokaryotes: Volume 3: Archaea. Bacteria: Firmicutes, Actinomycetes (vol 3)  by Ralph S. Wolfe (auth.), Martin Dworkin Professor Dr., Stanley Falkow, Eugene Rosenberg, Karl-Heinz Schleifer, Erko Stackebrandt (eds.) ",pg.122
19,Natronococcus occultus,1.0,2.0,,,um,5.24e-19,4.19e-18,2.36e-18,m^3,Spherical,Euryarchaeota,"The Prokaryotes: Volume 3: Archaea. Bacteria: Firmicutes, Actinomycetes (vol 3)  by Ralph S. Wolfe (auth.), Martin Dworkin Professor Dr., Stanley Falkow, Eugene Rosenberg, Karl-Heinz Schleifer, Erko Stackebrandt (eds.) ",pg.124
20,Natronomonas pharaonis,0.8,0.8,2.0,3.0,um,8.71e-19,1.37e-18,1.12e-18,m^3,rod,Euryarchaeota,"The Prokaryotes: Volume 3: Archaea. Bacteria: Firmicutes, Actinomycetes (vol 3)  by Ralph S. Wolfe (auth.), Martin Dworkin Professor Dr., Stanley Falkow, Eugene Rosenberg, Karl-Heinz Schleifer, Erko Stackebrandt (eds.) ",pg.120
22,Pyrococcus abyssi,0.8,2.0,,,um,2.68e-19,4.19e-18,2.23e-18,m^3,Spherical,Euryarchaeota,https://link.springer.com/content/pdf/10.1007%2FBF00252219.pdf,
23,Pyrococcus glycovorans,0.5,1.5,,,um,6.54e-20,1.77e-18,9.16e-19,m^3,Spherical,Euryarchaeota,http://www.microbiologyresearch.org/docserver/fulltext/ijsem/49/4/ijs-49-4-1829.pdf?expires=1527181686&id=id&accname=guest&checksum=87D587FDE1E105484D7888033FBE0A80,
24,Stygiolobus azoricus,0.5,1.8,,,um,6.54e-20,3.05e-18,1.56e-18,m^3,Spherical,Euryarchaeota,http://www.microbiologyresearch.org/docserver/fulltext/ijsem/41/4/ijs-41-4-495.pdf?expires=1527182331&id=id&accname=guest&checksum=029551415D53238C48C8655C4B176E60,
25,Thermococcus barophilus,0.8,2.0,,,um,2.68e-19,4.19e-18,2.23e-18,m^3,Spherical,Euryarchaeota,https://www.ncbi.nlm.nih.gov/pubmed/10319455,
26,Thermococcus fumicolans,0.8,2.0,,,um,2.68e-19,4.19e-18,2.23e-18,m^3,Spherical,Euryarchaeota,http://www.microbiologyresearch.org/docserver/fulltext/ijsem/46/4/ijs-46-4-1113.pdf?expires=1527182709&id=id&accname=guest&checksum=C5389BAF1004A329EAF0BD65CDB650F3,
27,Thermococcus hydrothermalis,0.8,2.0,,,um,2.68e-19,4.19e-18,2.23e-18,m^3,Spherical,Euryarchaeota,https://www.researchgate.net/publication/13992510_Thermococcus_hydrothermalis_sp_nov_a_New_Hyperthermophilic_Archaeon_Isolated_from_a_Deep-Sea_Hydrothermal_Vent,
28,Thermococcus siculi,0.8,2.0,,,um,2.68e-19,4.19e-18,2.23e-18,m^3,Spherical,Euryarchaeota,https://link.springer.com/content/pdf/10.1007%2Fs007920050099.pdf,
