GenusSpecies,MinSizeValue,MaxSizeValue,SizeUnit,SizeType,MinVolume,MaxVolume,VolumeUnit,MinMass,MaxMass,MassUnit,Shape,Sources,Phylum,Notes
Lactobacillus paracasei,0.8,1,um,Width,,,,,,,rod,"Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes, pg.504",firmucutes,pg.504
Lactobacillus rhamnosus,2,4,um,Length,,,,,,,rod,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,firmucutes,pg.507
Lactobacillus rhamnosus,0.8,1,um,Width,,,,,,,rod,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,firmucutes,pg.507
Lactococcus lactis,,,,mass,,,,2E-13,2E-13,g,Spherical,http://www.pnas.org/content/105/44/16994,firmucutes,
Lactococcus piscium,0.5,1,um,Width,,,,,,,Spherical,https://onlinelibrary.wiley.com/doi/pdf/10.1111/jam.13179,firmucutes,pg.245
Listeria monocytogenes,0.5,2,um,Length,,,,,,,rod,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,firmucutes,
Listeria monocytogenes,0.4,0.5,um,Width,,,,,,,rod,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,firmucutes,pg.245
Marinithermus hydrothermalis,7.5,9.4,um,Length,,,,,,,rod,http://www.microbiologyresearch.org/docserver/fulltext/ijsem/53/1/59.pdf?expires=1526922495&id=id&accname=guest&checksum=E4691D32D2EA9A09BB04138504F6D456,Deinococcus-Thermus,
Marinithermus hydrothermalis,0.9,1,um,Width,,,,,,,rod,http://www.microbiologyresearch.org/docserver/fulltext/ijsem/53/1/59.pdf?expires=1526922495&id=id&accname=guest&checksum=E4691D32D2EA9A09BB04138504F6D456,Deinococcus-Thermus,
Marinitoga piezophila,1,2.5,um,Length,,,,,,,rod,https://www.ncbi.nlm.nih.gov/pubmed/12148648,Thermotogae,
Marinobacter alkaliphilus,2,5,um,Length,,,,,,,rod,https://www.researchgate.net/publication/8388977_Marinobacter_alkaliphilus_sp_nov_a_novel_alkaliphilic_bacterium_isolated_from_subseafloor_alkaline_serpentine_mud_from_Ocean_Drilling_Program_Site_1200_at_South_Chamorro_Seamount_Mariana_Forearc,proteobacteria,
Marinobacter alkaliphilus,0.3,0.8,um,Width,,,,,,,rod,https://www.researchgate.net/publication/8388977_Marinobacter_alkaliphilus_sp_nov_a_novel_alkaliphilic_bacterium_isolated_from_subseafloor_alkaline_serpentine_mud_from_Ocean_Drilling_Program_Site_1200_at_South_Chamorro_Seamount_Mariana_Forearc,proteobacteria,
Mastigocladus laminosus,8,10,mm,Width,,,,,,,rod,https://www.researchgate.net/publication/235606612_Mastigocladus_Laminosus_Stigonematales_Cyanobacteria_Phylogenetic_Relationship_of_Strains_from_Thermal_Springs_to_Soil-Inhabiting_Genera_of_The_Order_and_Taxonomic_Implications_for_The_Genus,cyanobacteria,
Meiothermus chliarophilus,0.5,0.8,um,Width,,,,,,,rod,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1574-6968.2002.tb11445.x,Deinococcus-Thermus,Length is variable
Microcystis aeruginosa,,,,Volume,6.5E-17,6.5E-17,m^3,,,,Spherical,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1,cyanobacteria,"Dell, A.I., S. Pawar, V.M. Savage. 2013. The thermal dependence of biological traits. Ecology 94: 1205."
Microcystis aeruginosa,,,,Volume,1.31E-15,1.31E-15,m^3,,,,Spherical,Saujanya’s phytoplankton data,cyanobacteria,Average mean cell volume
Microcystis aeruginosa,,,,Volume,3.27E-15,3.27E-15,m^3,,,,Spherical,Saujanya’s phytoplankton data,cyanobacteria,Average mean cell volume
Microcystis aeruginosa,,,,Volume,6.54E-15,6.54E-15,m^3,,,,Spherical,Saujanya’s phytoplankton data,cyanobacteria,Average mean cell volume
Microcystis ichthyoblabe,2,3,um,Width,,,,,,,Spherical,http://www.microbiologyresearch.org/docserver/fulltext/ijsem/50/2/0500767a.pdf?expires=1526386385&id=id&accname=guest&checksum=D6D463D904C41C12E91EDE3C839CD10D,,"Width is Diameter, shape info: Wiki Microcystis"
Moritella abyssi,2,7,um,Length,,,,,,,rod,http://www.microbiologyresearch.org/docserver/fulltext/ijsem/53/2/533.pdf?expires=1526923609&id=id&accname=guest&checksum=0A81172A69073197CC23FFE176BBC42C,proteobacteria,
Moritella abyssi,0.8,1.2,um,Width,,,,,,,rod,http://www.microbiologyresearch.org/docserver/fulltext/ijsem/53/2/533.pdf?expires=1526923609&id=id&accname=guest&checksum=0A81172A69073197CC23FFE176BBC42C,proteobacteria,
Moritella profunda,1.5,5,um,Length,,,,,,,rod,http://www.microbiologyresearch.org/docserver/fulltext/ijsem/53/2/533.pdf?expires=1526923609&id=id&accname=guest&checksum=0A81172A69073197CC23FFE176BBC42C,proteobacteria,
Moritella profunda,0.9,1.2,um,Width,,,,,,,rod,http://www.microbiologyresearch.org/docserver/fulltext/ijsem/53/2/533.pdf?expires=1526923609&id=id&accname=guest&checksum=0A81172A69073197CC23FFE176BBC42C,proteobacteria,
Pelotomaculum thermopropionicum,1.7,2.8,um,Length,,,,,,,Spherical,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,firmucutes,pg.997
Pelotomaculum thermopropionicum,0.7,0.8,um,Width,,,,,,,Spherical,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,firmucutes,pg.997
Persephonella guaymasensis,2,4,um,Length,,,,,,,rod,http://ijs.microbiologyresearch.org/content/journal/ijsem/10.1099/00207713-52-4-1349#tab2,Aquificae,
Persephonella guaymasensis,0.3,0.4,um,Width,,,,,,,rod,http://ijs.microbiologyresearch.org/content/journal/ijsem/10.1099/00207713-52-4-1349#tab2,Aquificae,
Persephonella marina,2,4,um,Length,,,,,,,rod,http://ijs.microbiologyresearch.org/content/journal/ijsem/10.1099/00207713-52-4-1349#tab2,Aquificae,
Persephonella marina,0.3,0.4,um,Width,,,,,,,rod,http://ijs.microbiologyresearch.org/content/journal/ijsem/10.1099/00207713-52-4-1349#tab2,Aquificae,
Planktothrix agardhii,,,,Volume,1.96E-15,1.96E-15,m^3,,,,rod,Saujanya’s phytoplankton data,cyanobacteria,
Planktothrix agardhii,,,,Volume,9.62E-16,9.62E-16,m^3,,,,rod,Saujanya’s phytoplankton data,cyanobacteria,
Profundimonas piezophila,4,5,um,Length,,,,,,,rod,http://aem.asm.org/content/80/1/54.full,proteobacteria,
Profundimonas piezophila,0.5,0.8,um,Width,,,,,,,rod,http://aem.asm.org/content/80/1/54.full,proteobacteria,
Pseudoalteromonas antarctica,1,3,um,Length,,,,,,,rod,http://www.microbiologyresearch.org/docserver/fulltext/ijsem/47/2/ijs-47-2-345.pdf?expires=1526924343&id=id&accname=guest&checksum=FF1A3F36005B016E92C7B9740F808F9A,proteobacteria,
Pseudoalteromonas antarctica,0.3,0.9,um,Width,,,,,,,rod,http://www.microbiologyresearch.org/docserver/fulltext/ijsem/47/2/ijs-47-2-345.pdf?expires=1526924343&id=id&accname=guest&checksum=FF1A3F36005B016E92C7B9740F808F9A,proteobacteria,
Pseudomonas fluorescens,,,,mass,,,,1E-12,1E-12,g,rod,http://www.pnas.org/content/105/44/16994,proteobacteria,
Pseudomonas fluorescens,,,,mass,,,,1.2E-12,1.2E-12,g,rod,http://www.pnas.org/content/105/44/16994,proteobacteria,
Pseudomonas putida,,,,mass,,,,1.7E-12,1.7E-12,g,rod,http://www.pnas.org/content/105/44/16994,proteobacteria,
Pseudomonas putida,,,,mass,,,,1.9E-12,1.9E-12,g,rod,http://www.pnas.org/content/105/44/16994,proteobacteria,
Pseudothermotoga lettingae,1.5,11,um,Length,,,,,,,rod,https://books.google.co.uk/books?id=3znhBwAAQBAJ&pg=PA370&lpg=PA370&dq=thermotogaceae+cell+size&source=bl&ots=iAqIJx8wC_&sig=PVgY-4Ga0mAJzpzmsQnfUfXkjEU&hl=en&sa=X&ved=0ahUKEwjEoreSxorbAhXILsAKHaPCA88Q6AEIMjAC#v=onepage&q=thermotogaceae%20cell%20size&f=false,Thermotogae,Average size of family Thermotogaceae taken. pg.370
Pseudothermotoga lettingae,0.5,1,um,Width,,,,,,,rod,https://books.google.co.uk/books?id=3znhBwAAQBAJ&pg=PA370&lpg=PA370&dq=thermotogaceae+cell+size&source=bl&ots=iAqIJx8wC_&sig=PVgY-4Ga0mAJzpzmsQnfUfXkjEU&hl=en&sa=X&ved=0ahUKEwjEoreSxorbAhXILsAKHaPCA88Q6AEIMjAC#v=onepage&q=thermotogaceae%20cell%20size&f=false,Thermotogae,Average size of family Thermotogaceae taken. pg.370
Pseudoxanthomonas broegbernensis,0.8,2,um,Length,,,,,,,rod,https://books.google.co.uk/books?id=5zSYmcq0GdgC&pg=PA453&lpg=PA453&dq=Colwellia+demingiae+cell+size&source=bl&ots=fke1PEk0Jq&sig=GCks8dltnn04MME18nQ_l3xBObk&hl=en&sa=X&ved=0ahUKEwifxNvxyorbAhUqJMAKHRfjClAQ6AEITzAF#v=onepage&q=Xanthomonadaceae&f=false,proteobacteria,"Could not find size info for genus or species, so info on family: Xanthomonas used"
Pseudoxanthomonas broegbernensis,0.4,0.6,um,Width,,,,,,,rod,https://books.google.co.uk/books?id=5zSYmcq0GdgC&pg=PA453&lpg=PA453&dq=Colwellia+demingiae+cell+size&source=bl&ots=fke1PEk0Jq&sig=GCks8dltnn04MME18nQ_l3xBObk&hl=en&sa=X&ved=0ahUKEwifxNvxyorbAhUqJMAKHRfjClAQ6AEITzAF#v=onepage&q=Xanthomonadaceae&f=false,proteobacteria,pg. 63 of Bergey’s Manual of Systematic Bacteriology Volume 2: The Proteobacteria
Pseudoxanthomonas taiwanensis,0.8,2,um,Length,,,,,,,rod,https://books.google.co.uk/books?id=5zSYmcq0GdgC&pg=PA453&lpg=PA453&dq=Colwellia+demingiae+cell+size&source=bl&ots=fke1PEk0Jq&sig=GCks8dltnn04MME18nQ_l3xBObk&hl=en&sa=X&ved=0ahUKEwifxNvxyorbAhUqJMAKHRfjClAQ6AEITzAF#v=onepage&q=Xanthomonadaceae&f=false,proteobacteria,"Could not find size info for genus or species, so info on family: Xanthomonas used"
Pseudoxanthomonas taiwanensis,0.4,0.6,um,Width,,,,,,,rod,https://books.google.co.uk/books?id=5zSYmcq0GdgC&pg=PA453&lpg=PA453&dq=Colwellia+demingiae+cell+size&source=bl&ots=fke1PEk0Jq&sig=GCks8dltnn04MME18nQ_l3xBObk&hl=en&sa=X&ved=0ahUKEwifxNvxyorbAhUqJMAKHRfjClAQ6AEITzAF#v=onepage&q=Xanthomonadaceae&f=false,proteobacteria,pg. 63 of Bergey’s Manual of Systematic Bacteriology Volume 2: The Proteobacteria
Psychrobacter glacincola,,,,,,,,,,,,,,
Psychrobacter muriicola,0.5,2,um,Length,,,,,,,rod,http://cryosol.ru/images/stuff/liza/shcherb-2009.pdf,proteobacteria,Cells are cocci or coccobacilli
Psychrobacter muriicola,0.5,1,um,Width,,,,,,,rod,http://cryosol.ru/images/stuff/liza/shcherb-2009.pdf,proteobacteria,Cells are cocci or coccobacilli
Psychroflexus torquis,0.5,3,um,Length,,,,,,,rod,https://books.google.co.uk/books?id=0kghF7qBE98C&pg=PA258&lpg=PA258&dq=Psychroflexus+torquis+cell+size&source=bl&ots=Rkp9HzNY4S&sig=oi1y7rL_0PSrFXxrPvXfR8KnvhU&hl=en&sa=X&ved=0ahUKEwjggeHa04rbAhVKAsAKHWyXAgw4ChDoAQgtMAE#v=onepage&q=Psychroflexus%20torquis%20cell%20size&f=false,bacteroidetes,pg. 258 of Bergey’s Manual of Systematic Bacteriology Volume 4: The Bacteroidetes
Psychroflexus torquis,0.4,1.5,um,Width,,,,,,,rod,https://books.google.co.uk/books?id=0kghF7qBE98C&pg=PA258&lpg=PA258&dq=Psychroflexus+torquis+cell+size&source=bl&ots=Rkp9HzNY4S&sig=oi1y7rL_0PSrFXxrPvXfR8KnvhU&hl=en&sa=X&ved=0ahUKEwjggeHa04rbAhVKAsAKHWyXAgw4ChDoAQgtMAE#v=onepage&q=Psychroflexus%20torquis%20cell%20size&f=false,bacteroidetes,pg. 258 of Bergey’s Manual of Systematic Bacteriology Volume 4: The Bacteroidetes
Psychromonas profunda,,,,,,,,,,,,,,
Rubrobacter radiotolerans,1,4,um,Length,,,,,,,rod,https://books.google.co.uk/books?id=66UMS7A2KisC&pg=PA2006&lpg=PA2006&dq=Rubrobacter+xylanophilus+cell+volume&source=bl&ots=_8IUoOsVAb&sig=ISGSN_kQXz9eLGaLTAua_OkTDaI&hl=en&sa=X&ved=0ahUKEwij1MrJ1YrbAhUJXMAKHdoNCm84ChDoAQgvMAE#v=onepage&q=Rubrobacter%20xylanophilus%20cell%20volume&f=false,Actinobacteria,pg. 2008 of Bergey’s Manual of Systematic Bacteriology Volume 5: The Actinobacteria
Rubrobacter radiotolerans,0.8,1,um,Width,,,,,,,rod,https://books.google.co.uk/books?id=66UMS7A2KisC&pg=PA2006&lpg=PA2006&dq=Rubrobacter+xylanophilus+cell+volume&source=bl&ots=_8IUoOsVAb&sig=ISGSN_kQXz9eLGaLTAua_OkTDaI&hl=en&sa=X&ved=0ahUKEwij1MrJ1YrbAhUJXMAKHdoNCm84ChDoAQgvMAE#v=onepage&q=Rubrobacter%20xylanophilus%20cell%20volume&f=false,Actinobacteria,pg. 2008 of Bergey’s Manual of Systematic Bacteriology Volume 5: The Actinobacteria
Rubrobacter xylanophilus,1,3,um,Length,,,,,,,rod,https://books.google.co.uk/books?id=66UMS7A2KisC&pg=PA2006&lpg=PA2006&dq=Rubrobacter+xylanophilus+cell+volume&source=bl&ots=_8IUoOsVAb&sig=ISGSN_kQXz9eLGaLTAua_OkTDaI&hl=en&sa=X&ved=0ahUKEwij1MrJ1YrbAhUJXMAKHdoNCm84ChDoAQgvMAE#v=onepage&q=Rubrobacter%20xylanophilus%20cell%20volume&f=false,Actinobacteria,pg. 2008 of Bergey’s Manual of Systematic Bacteriology Volume 5: The Actinobacteria
Rubrobacter xylanophilus,0.9,1,um,Width,,,,,,,rod,https://books.google.co.uk/books?id=66UMS7A2KisC&pg=PA2006&lpg=PA2006&dq=Rubrobacter+xylanophilus+cell+volume&source=bl&ots=_8IUoOsVAb&sig=ISGSN_kQXz9eLGaLTAua_OkTDaI&hl=en&sa=X&ved=0ahUKEwij1MrJ1YrbAhUJXMAKHdoNCm84ChDoAQgvMAE#v=onepage&q=Rubrobacter%20xylanophilus%20cell%20volume&f=false,Actinobacteria,pg. 2008 of Bergey’s Manual of Systematic Bacteriology Volume 5: The Actinobacteria
Salmonella enterica,,,,mass,,,,6.6E-13,6.6E-13,g,rod,http://www.pnas.org/content/105/44/16994,proteobacteria,Size of Salmonella enterica serovar Typhimurium: http://www.salmonella.org/info.html
Shewanella gelidimarina,1.5,2.5,um,Length,,,,,,,rod,http://www.microbiologyresearch.org/docserver/fulltext/ijsem/47/4/ijs-47-4-1040.pdf?expires=1526993475&id=id&accname=guest&checksum=C762647EEFD31431F488074CDAC07BB4,proteobacteria,
Shewanella gelidimarina,0.5,0.8,um,Width,,,,,,,rod,http://www.microbiologyresearch.org/docserver/fulltext/ijsem/47/4/ijs-47-4-1040.pdf?expires=1526993475&id=id&accname=guest&checksum=C762647EEFD31431F488074CDAC07BB4,proteobacteria,
Sphaerospermopsis aphanizomenoides,4.4,5.1,um,Length,,,,,,,cylindrical,https://www.researchgate.net/publication/283282292_Morphological_and_ecological_characteristics_of_potentially_toxic_invasive_cyanobacterium_Sphaerospermopsis_aphanizomenoides_Forti_Zapomelova_Jezberova_Hrouzek_Hisem_Rehakova_Komarkova_Nostocales_Cyan,cyanobacteria,"Aphanizomenon aphanizomenoides – Name in Consumer column, avergae length of vegetative cell size"
Sphaerospermopsis aphanizomenoides,3.5,4.1,um,Width,,,,,,,cylindrical,https://www.researchgate.net/publication/283282292_Morphological_and_ecological_characteristics_of_potentially_toxic_invasive_cyanobacterium_Sphaerospermopsis_aphanizomenoides_Forti_Zapomelova_Jezberova_Hrouzek_Hisem_Rehakova_Komarkova_Nostocales_Cyan,cyanobacteria,"Aphanizomenon aphanizomenoides – Name in Consumer column, avergae length of vegetative cell size"
Spirulina platensis,10,10,um,Width,,,,,,,rod,http://www.scielo.br/pdf/cta/v33s1/v33s1a26.pdf,cyanobacteria,"pg.180, or 5-6um as stated in https://www.researchgate.net/publication/259503619_SPIRULINA_PLATENSIS_-_FOOD_FOR_FUTURE_A_REVIEW"
Staphylococcus aureus,,,,mass,,,,2.7E-13,2.7E-13,g,Spherical,http://www.pnas.org/content/105/44/16994,firmucutes,
Staphylococcus xylosus,0.8,1.2,um,Width,,,,,,,Spherical,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,firmucutes,pg.420
Streptococcus salivarius,0.7,1,um,Width,,,,,,,Spherical,https://books.google.co.uk/books?id=hPjpBwAAQBAJ&pg=PA114&dq=S.+salivarius+cell+diameter&hl=en&sa=X&ved=0ahUKEwjC0pCfkYrbAhXqK8AKHcGIB38Q6AEILDAB#v=onepage&q=S.%20salivarius%20cell%20diameter&f=false,firmucutes,pg. 114 of reference
Streptococcus thermophilus,,,,mass,,,,2.6E-13,2.6E-13,g,Spherical,http://www.pnas.org/content/105/44/16994,firmucutes,
Sulfobacillus thermotolerans,1.5,4.5,um,Length,,,,,,,rod,"Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes, pg.1184",firmucutes,
Sulfobacillus thermotolerans,0.8,1.2,um,Width,,,,,,,rod,"Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes, pg.1184",firmucutes,
Sulfurihydrogenibium kristjanssonii,1.5,2.5,um,Length,,,,,,,rod,https://www.researchgate.net/publication/5401401_Sulfurihydrogenibium_kristjanssonii_sp_nov_a_hydrogen-_and_sulfur-oxidizing_thermophile_isolated_from_a_terrestrial_Icelandic_hot_spring,Aquificae,
Sulfurihydrogenibium kristjanssonii,0.5,0.5,um,Width,,,,,,,rod,https://www.researchgate.net/publication/5401401_Sulfurihydrogenibium_kristjanssonii_sp_nov_a_hydrogen-_and_sulfur-oxidizing_thermophile_isolated_from_a_terrestrial_Icelandic_hot_spring,Aquificae,
Synechococcus lividus,,,,Volume,1.8,1.8,um3,,,,Spherical,"http://kirschner.med.harvard.edu/files/bionumbers/Nucleic%20acid%20contents,%20observed%20and%20predicted%20burst%20sizes%20for%20a%20range%20of%20algae%20and%20viruses.pdf",cyanobacteria,length info: https://www.researchgate.net/publication/230475979_The_effects_of_some_ecological_factors_on_cell_size_of_the_hot_spring_alga_Synechococcus_lividus_Cyanophyta
Synechocystis minima,,,,,,,,,,,,,cyanobacteria,
Thermacetogenium phaeum,2,12.6,um,Length,,,,,,,rod,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,firmucutes,pg.1256
Thermacetogenium phaeum,0.4,0.7,um,Width,,,,,,,rod,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,firmucutes,pg.1256
Thermoanaerobacter kivui,2,3.5,um,Length,,,,,,,rod,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,firmucutes,"pg.1235, cell size during growth on H2 and CO2"
Thermoanaerobacter kivui,5.5,7.5,um,Length,,,,,,,rod,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,firmucutes,"pg.1235,  cell size during growth on glucose "
Thermoanaerobacter kivui,0.7,0.7,um,Width,,,,,,,rod,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,firmucutes,"pg.1235, cell size during growth on H2 and CO2"
Thermoanaerobacter kivui,0.7,0.8,um,Width,,,,,,,rod,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,firmucutes,"pg.1235,  cell size during growth on glucose "
Thermoanaerobacter mathranii,1.8,3.9,um,Length,,,,,,,rod,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,firmucutes,pg.1235
Thermoanaerobacter mathranii,0.7,0.7,um,Width,,,,,,,rod,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,firmucutes,pg.1235
Thermoanaerobacter siderophilus,3.5,9,um,Length,,,,,,,rod,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,firmucutes,pg.1236
Thermoanaerobacter siderophilus,0.4,0.6,um,Width,,,,,,,rod,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,firmucutes,pg.1236
Thermoanaerobacterium thermosulfurigenes,2,20,um,Length,,,,,,,rod,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,firmucutes,pg.1283
Thermoanaerobacterium thermosulfurigenes,0.5,2,um,Width,,,,,,,rod,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,firmucutes,pg.1283
Thermosipho japonicus,1,4,um,Length,,,,,,,rod,https://books.google.co.uk/books?id=3znhBwAAQBAJ&pg=PA661&lpg=PA661&dq=thermotogales+bergey%27s&source=bl&ots=iAqIMu7ryZ&sig=xsb-FNO97kHa59apMvfxGg8vfXU&hl=en&sa=X&ved=0ahUKEwis-N6drpLbAhVItxQKHQBRBnkQ6AEIWTAF#v=onepage&q=thermotogales%20bergey's&f=false,Thermotogae,pg. 370  size of Genus Thermosipho used
Thermus thermophilus,0.2,1.7,um,Width,,,,,,,rod,https://onlinelibrary.wiley.com/doi/pdf/10.1002/9781118960608.gbm00477.pub2,Deinococcus-Thermus,Genus: Thermus size info
Trichodesmium erythraeum,,,,Volume,9.5E-16,9.5E-16,m^3,,,,,Saujanya’s phytoplankton data,cyanobacteria,
Trichormus variabilis,4.3,4.3,um,Width,,,,,,,Conical,"http://www.ebr.or.kr/journal/article.php?code=14429, http://www.microbiologyresearch.org/docserver/fulltext/ijsem/55/1/11.pdf?expires=1526381804&id=id&accname=guest&checksum=58AF11FF47E2F489A48392FAC3F397EB",cyanobacteria,https://books.google.co.uk/books?id=yjnLAwAAQBAJ&pg=PA224&lpg=PA224&dq=Trichormus+variabilis+cell+diameter&source=bl&ots=FtYPtDMsnF&sig=BSuUkqm7CJej0h9l2vBuwLrHkJ4&hl=en&sa=X&ved=0ahUKEwjVwteVv4fbAhWJA8AKHeK2CSwQ6AEIXTAM#v=onepage&q=Trichormus%20variabilis%20cell%20diameter&f=false  Anabaena = Trichormus variabilis
Xanthomonas campestris,1.35,2.17,um,Length,,,,,,,rod,https://books.google.co.uk/books?id=8A_yBwAAQBAJ&pg=PA191&lpg=PA191&dq=Xanthomonas+campestris+cell+width&source=bl&ots=LCjaeonYF-&sig=cHYPUCF7EAQ6Dq8eV8xlGskcvMA&hl=en&sa=X&ved=0ahUKEwiO6IXQs5nbAhUMthQKHckwA9o4ChDoAQhDMAc#v=onepage&q=Xanthomonas%20campestris%20cell%20width&f=false,proteobacteria,pg.191
Xanthomonas campestris,0.55,0.75,um,Width,,,,,,,rod,https://books.google.co.uk/books?id=8A_yBwAAQBAJ&pg=PA191&lpg=PA191&dq=Xanthomonas+campestris+cell+width&source=bl&ots=LCjaeonYF-&sig=cHYPUCF7EAQ6Dq8eV8xlGskcvMA&hl=en&sa=X&ved=0ahUKEwiO6IXQs5nbAhUMthQKHckwA9o4ChDoAQhDMAc#v=onepage&q=Xanthomonas%20campestris%20cell%20width&f=false,proteobacteria,pg.191
Xylella fastidiosa,0.9,3.5,um,Length,,,,,,,rod,http://aem.asm.org/content/73/8/2690.full?view=long&pmid=17293518,proteobacteria,
Xylella fastidiosa,0.25,0.35,um,Width,,,,,,,rod,http://aem.asm.org/content/73/8/2690.full?view=long&pmid=17293518,proteobacteria,
Yersinia enterocolitica,1,3,um,Length,,,,,,,rod,http://www.elsevier.es/es-revista-enfermedades-infecciosas-microbiologia-clinica-28-articulo-yersinia-enterocolitica-pathogenesis-virulence-antimicrobial-S0213005X11002655?referer=buscador,proteobacteria,
Yersinia enterocolitica,0.5,0.8,um,Width,,,,,,,rod,http://www.elsevier.es/es-revista-enfermedades-infecciosas-microbiologia-clinica-28-articulo-yersinia-enterocolitica-pathogenesis-virulence-antimicrobial-S0213005X11002655?referer=buscador,proteobacteria,
