Species,Mass,SizeUnit
Acetobacter aceti,7.5E-13,g
Acholeplasma laidlawii,4E-14,g
Achromobacter ruhlandii,2E-13,g
Achromobacter sp.,6E-13,g
Achromobacter viscosus,6E-13,g
Achromobacter xerosis,5E-13,g
Acidovorax facilis,3E-13,g
Acinetobacter baumannii,2E-12,g
Acinetobacter calcoaceticus,2E-12,g
Acinetobacter johnsonii,2E-12,g
Acinetobacter sp.,2E-12,g
Acinetobacter sp.,2E-12,g
Acinetobacter sp.,2E-12,g
Aerobacter aerogenes,4E-13,g
Aerobacter aerogenes,4E-13,g
Agrobacterium tumefaciens,1.5E-12,g
Alcaligenes eutrophus,8E-13,g
Alteromonas haloplanktis,1E-12,g
Alteromonas haloplanktis,1E-12,g
Aminobacter lissarensis,6E-13,g
Amoebobacter purpureus,3.6E-11,g
Amoebobacter roseus,5E-12,g
Amoebobaeter pendens,5E-12,g
Aquaspirillum itersonii,9E-13,g
Arthrobacter crystallopoietes,1.7E-12,g
Arthrobacter globiformis,5E-13,g
Arthrobacter sp.,2E-13,g
Arthrobacter sp.,1.5E-12,g
Azomonas agilis?,1.3E-11,g
Azorhizobium caulinodans,5E-13,g
Azospirillum brasilense,1E-12,g
Azospirillum brasilense,1E-12,g
Azospirillum brasiliense,1E-12,g
Azospirillum lipoferum,4E-12,g
Azospirillum lipoferum,4E-12,g
Azospirillum lipoferum,4E-12,g
Azotobacter agilis,1.9E-11,g
Azotobacter chroococcum,1.4E-11,g
Azotobacter chroococcum,1.2E-11,g
Azotobacter chroococcum,1.2E-11,g
Azotobacter vinelandii,5E-13,g
Bacillus cereus,3.7E-12,g
Bacillus cereus,3.7E-12,g
Bacillus cereus,3.7E-12,g
Bacillus firmus,9E-13,g
Bacillus licheniformis,8E-13,g
Bacillus licheniformis,8E-13,g
Bacillus macerans,1E-12,g
Bacillus macerans,1E-12,g
Bacillus megaterium,7E-12,g
Bacillus popilliae,8E-13,g
Bacillus pumilus,7E-13,g
Bacillus stearothermophilus,7E-13,g
Bacillus subtilis,1.4E-12,g
Bacillus subtilis,1.1E-12,g
Bacillus subtilis,1.1E-12,g
Bdellovibrio bacteriovorus,3E-13,g
Bdellovibrio bacteriovorus,5E-13,g
Bdellovibrio bacteriovorus,5E-13,g
Beneckea natriegens,1.5E-12,g
Bradyrhizobium japonicum,7E-13,g
Bradyrhizobium sp.,7E-13,g
Branhamella catarrhalis,1.3E-12,g
Brucella melitensis,3E-13,g
Burkholderia sp.,7E-13,g
Burkholderia sp. JT1500,6.6E-13,g
Cellvibrio gilvus,2E-12,g
Chromatium vinosum,1.5E-12,g
Corynebacterium glutamicum,6.19E-13,g
Corynebacterium sp.,5E-13,g
Delftia acidovorans,8E-13,g
Desulfovibrio propionicus,1.8E-12,g
Desulfovibrio propionicus,1.8E-12,g
Desulfovibrio salexigens,1.5E-12,g
Enterobacter aerogenes,3E-13,g
Enterobacter cloacae,9E-13,g
Enterococcus cecorum,4E-13,g
Enterococcus cecorum,4E-13,g
Enterococcus faecalis,2E-13,g
Enterococcus sp.,8E-13,g
Enterococcus sp. RfL6,8E-13,g
Escherichia coli,1.2E-12,g
Flavobacterium capsulatum,3E-13,g
Francisella tularensis,1E-14,g
Haemophilus influenzae,1.4E-13,g
Haemophilus parainfluenzae,4E-13,g
Halomonas halodenitrificans,4E-13,g
Klebsiella pneumoniae,4E-13,g
Lactobacillus brevis,1.6E-12,g
Lactobacillus bulgaricus,1.3E-12,g
Lactobacillus bulgaricus,1.3E-12,g
Lactobacillus casei,1.9E-12,g
Lactobacillus casei,1.9E-12,g
Lactobacillus plantarum,3.8E-12,g
Lactobacillus plantarum,3.8E-12,g
Lactococcus lactis,2E-13,g
Lactococcus lactis,2E-13,g
Lactococcus lactis,2E-13,g
Lactococcus sp.,8E-13,g
Lactococcus sp. TmLO5,8E-13,g
Legionella pneumophila,3E-13,g
Leptospira biflexa,4.07E-13,g
Leptospira sp.,7E-14,g
Methylobacterium extorquens,1E-12,g
Methylomicrobium sp.,3E-12,g
Methylophilus methylotrophus,1.5E-13,g
Methylosinus trichosporium,1E-12,g
Micrococcus luteus,1.1E-12,g
Moraxella osloensis,2.3E-12,g
Mycobacterium phlei,4E-13,g
Mycobacterium tuberculosis,2E-13,g
Mycoplasma bovis,1.4E-14,g
Mycoplasma capricolum,6E-14,g
Mycoplasma capricolum,6E-14,g
Mycoplasma gallisepticum,2.6E-13,g
Mycoplasma gallisepticum,2.6E-13,g
Mycoplasma pneumoniae,4E-14,g
Mycoplasma pulmonis UAB CTIP,6.54E-14,g
Myxococcus xanthus,1E-12,g
Neisseria elongata,2E-13,g
Neisseria flava,2E-13,g
Neisseria gonorrhoeae,2E-13,g
Neisseria gonorrhoeae,2E-13,g
Neisseria gonorrhoeae,2E-13,g
Neisseria meningitidis,3E-13,g
Neisseria meningitidis,3E-13,g
Neisseria mucosa,2E-13,g
Neisseria sicca,2E-13,g
Nitrobacter winogradskyi,2.4E-13,g
Nitrosomonas europaea,6E-13,g
Nocardia corallina,2.1E-12,g
Nocardia farcinica,1E-13,g
Paracoccus denitrificans,1.6E-13,g
Pediococcus acidilactici,2.2E-12,g
Phaeospirillum fulvum,2E-12,g
Picrophilus oshimae,1E-12,g
Proteus morganii,4E-13,g
Proteus vulgaris,4E-13,g
Pseudomonas aeruginosa,5E-13,g
Pseudomonas aeruginosa,6E-13,g
Pseudomonas aeruginosa,6E-13,g
Pseudomonas fluorescens,1E-12,g
Pseudomonas fluorescens,1.2E-12,g
Pseudomonas fluorescens,1.2E-12,g
Pseudomonas formicans,7E-12,g
Pseudomonas natriegens,1E-12,g
Pseudomonas natrigiens,1E-12,g
Pseudomonas oleovorans,1.6E-13,g
Pseudomonas perfectomarinus,1.7E-12,g
Pseudomonas perfectomarinus,1.7E-12,g
Pseudomonas putida,1.7E-12,g
Pseudomonas putida,1.9E-12,g
Pseudomonas putida,1.9E-12,g
Rhizobium japonicum,7E-13,g
Rhizobium leguminosarum,6E-13,g
Rhizobium leguminosarum,6E-13,g
Rhizobium leguminosarum,6E-13,g
Rhizobium meliloti,7E-13,g
Rhodobacter sphaeroides,8E-13,g
Rhodospirillum rubrum,9E-12,g
Sallinivibrio costicola,4E-13,g
Salmonella typhimurium,6.6E-13,g
Serratia marcescens,4E-13,g
Sphaerotilus natans,6.5E-12,g
Sporosarcina ureae,3.8E-12,g
Staphylococcus aureus,2.7E-13,g
Staphylococcus epidermidis,5E-13,g
Staphylococcus epidermidis,5E-13,g
Staphylococcus epidermidis,5E-13,g
Streptococcus agalactiae,3E-13,g
Streptococcus agalactiae,3E-13,g
Streptococcus agalactiae,3E-13,g
Streptococcus faecalis,1E-12,g
Streptococcus faecalis,1E-12,g
Streptococcus pneumoniae,4E-13,g
Streptococcus pneumoniae,2.5E-13,g
Streptococcus pneumoniae,2.5E-13,g
Streptococcus pyogenes,2E-13,g
Streptococcus pyogenes,1.8E-13,g
Streptococcus pyogenes,1.8E-13,g
Streptococcus thermophilus,2.6E-13,g
Streptococcus thermophilus,2.6E-13,g
Taylorella equigenitalis,4E-13,g
Thiobacillus ferrooxidans,2.5E-13,g
Thiobacillus intermedius,4E-13,g
Thiobacillus thiooxidans,2.5E-13,g
Thiocapsa roseopersicina,1E-12,g
Thiocystis violacea,1.1E-11,g
Unidentified bacterium,6E-13,g
Vibrio alginolyticus,6E-13,g
Vibrio anguillarum,2.6E-12,g
Vibrio anguillarum,2.6E-12,g
Vibrio fischeri,6E-13,g
Vibrio metschnikovii,6E-13,g
Vibrio parahaemolyticus,6E-13,g
Vibrio sp.,1.4E-13,g
Vibrio sp. DW1,4.5E-13,g
Xanthomonas axonopodis,2.5E-13,g
Yersinia pestis,5.5E-13,g
Zymomonas mobilis,6E-13,g
