index,GenusSpecies,width,length,SizeUnit,Shape,Phylum,Sources,Volume
0,Acetobacterium carbinolicum,0.8,1.5,um,rod,firmucutes,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,
0,Acetobacterium carbinolicum,1.0,2.5,um,rod,firmucutes,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,
1,Acetobacterium fimetarium,1.1,2.6,um,rod,firmucutes,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,
1,Acetobacterium fimetarium,0.8,1.5,um,rod,firmucutes,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,
2,Aeribacillus pallidus,0.8,2.0,um,rod,firmucutes,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,
2,Aeribacillus pallidus,0.9,5.0,um,rod,firmucutes,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,
3,Aeromonas hydrophila,1.0,3.5,um,rod,proteobacteria,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4255052/,
3,Aeromonas hydrophila,1.0,3.5,um,rod,proteobacteria,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4255052/,
4,Alkaliphilus transvaalensis,0.4,3.0,um,rod,firmucutes,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,
4,Alkaliphilus transvaalensis,0.7,6.0,um,rod,firmucutes,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,
9,Aphanizomenon aphanizomenoides,7.0,7.7,um,oval,cyanobacteria,https://www.researchgate.net/publication/266673473_Aphanizomenon_favaloroi_spec_nov_Cyanobacteria_Nostocales_a_new_planktic_species_from_Argentina,
9,Aphanizomenon aphanizomenoides,5.5,6.0,um,oval,cyanobacteria,https://www.researchgate.net/publication/266673473_Aphanizomenon_favaloroi_spec_nov_Cyanobacteria_Nostocales_a_new_planktic_species_from_Argentina,
11,Arthrospira fusiformis,8.9,302.0,um,rod,cyanobacteria,https://www.researchgate.net/publication/233502806_Arthrospira_fusiformis_Voronichin_Komarek_et_Lund_Cyanoprokaryota_-_A_new_species_for_Europe,
11,Arthrospira fusiformis,7.3,113.0,um,rod,cyanobacteria,https://www.researchgate.net/publication/233502806_Arthrospira_fusiformis_Voronichin_Komarek_et_Lund_Cyanoprokaryota_-_A_new_species_for_Europe,
13,Bacillus infernus,0.8,8.0,um,rod,firmucutes,"Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes, pg.106",
13,Bacillus infernus,0.7,4.0,um,rod,firmucutes,"Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes, pg.106",
15,Bosea eneae,0.5,1.2,um,rod,proteobacteria,https://books.google.co.uk/books?id=dgejA4wa5R4C&pg=PA710&lpg=PA710&dq=Hydrogenophaga+pseudoflava+cell+size&source=bl&ots=cYZTDQzGbm&sig=5P5ROil4OvMEgQ_cg2UuXk00Vyc&hl=en&sa=X&ved=0ahUKEwid5Ovxl5DbAhXFB8AKHUlzAkkQ6AEIVDAH#v=onepage&q=Bosea%20eneae&f=false,
15,Bosea eneae,0.9,3.0,um,rod,proteobacteria,https://books.google.co.uk/books?id=dgejA4wa5R4C&pg=PA710&lpg=PA710&dq=Hydrogenophaga+pseudoflava+cell+size&source=bl&ots=cYZTDQzGbm&sig=5P5ROil4OvMEgQ_cg2UuXk00Vyc&hl=en&sa=X&ved=0ahUKEwid5Ovxl5DbAhXFB8AKHUlzAkkQ6AEIVDAH#v=onepage&q=Bosea%20eneae&f=false,
16,Brochothrix thermosphacta,0.6,1.0,um,rod,firmucutes,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,
16,Brochothrix thermosphacta,0.75,2.0,um,rod,firmucutes,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,
17,Caldanaerobacter subterraneus,0.5,2.0,um,rod,firmucutes,"Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes, pg.1243",
17,Caldanaerobacter subterraneus,0.7,8.0,um,rod,firmucutes,"Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes, pg.1243",
18,Caldicellulosiruptor obsidiansis,0.2,2.0,um,rod,firmucutes,https://www.ncbi.nlm.nih.gov/pubmed/20023107,
18,Caldicellulosiruptor obsidiansis,0.2,2.0,um,rod,firmucutes,https://www.ncbi.nlm.nih.gov/pubmed/20023107,
19,Caloramator fervidus,0.65,2.0,um,rod,firmucutes,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,
19,Caloramator fervidus,0.75,2.5,um,rod,firmucutes,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,
20,Caloramator indicus,0.8,100.0,um,rod,firmucutes,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,
20,Caloramator indicus,0.6,10.0,um,rod,firmucutes,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,
21,Clostridium perfringens,0.6,1.3,um,rod,firmucutes,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,
21,Clostridium perfringens,2.4,19.0,um,rod,firmucutes,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,
22,Colwellia demingiae,0.4,1.5,um,rod,proteobacteria,https://books.google.co.uk/books?id=5zSYmcq0GdgC&pg=PA453&lpg=PA453&dq=Colwellia+demingiae+cell+size&source=bl&ots=fke1PEk0Jq&sig=GCks8dltnn04MME18nQ_l3xBObk&hl=en&sa=X&ved=0ahUKEwifxNvxyorbAhUqJMAKHRfjClAQ6AEITzAF#v=onepage&q=Colwellia%20demingiae%20cell%20size&f=false,
22,Colwellia demingiae,0.6,4.5,um,rod,proteobacteria,https://books.google.co.uk/books?id=5zSYmcq0GdgC&pg=PA453&lpg=PA453&dq=Colwellia+demingiae+cell+size&source=bl&ots=fke1PEk0Jq&sig=GCks8dltnn04MME18nQ_l3xBObk&hl=en&sa=X&ved=0ahUKEwifxNvxyorbAhUqJMAKHRfjClAQ6AEITzAF#v=onepage&q=Colwellia%20demingiae%20cell%20size&f=false,
23,Colwellia hornerae,0.8,3.0,um,rod,proteobacteria,https://books.google.co.uk/books?id=5zSYmcq0GdgC&pg=PA453&lpg=PA453&dq=Colwellia+demingiae+cell+size&source=bl&ots=fke1PEk0Jq&sig=GCks8dltnn04MME18nQ_l3xBObk&hl=en&sa=X&ved=0ahUKEwifxNvxyorbAhUqJMAKHRfjClAQ6AEITzAF#v=onepage&q=Colwellia%20demingiae%20cell%20size&f=false,
23,Colwellia hornerae,0.4,1.5,um,rod,proteobacteria,https://books.google.co.uk/books?id=5zSYmcq0GdgC&pg=PA453&lpg=PA453&dq=Colwellia+demingiae+cell+size&source=bl&ots=fke1PEk0Jq&sig=GCks8dltnn04MME18nQ_l3xBObk&hl=en&sa=X&ved=0ahUKEwifxNvxyorbAhUqJMAKHRfjClAQ6AEITzAF#v=onepage&q=Colwellia%20demingiae%20cell%20size&f=false,
24,Colwellia psychrerythraea,0.5,2.5,um,rod,proteobacteria,https://books.google.co.uk/books?id=5zSYmcq0GdgC&pg=PA453&lpg=PA453&dq=Colwellia+demingiae+cell+size&source=bl&ots=fke1PEk0Jq&sig=GCks8dltnn04MME18nQ_l3xBObk&hl=en&sa=X&ved=0ahUKEwifxNvxyorbAhUqJMAKHRfjClAQ6AEITzAF#v=onepage&q=Colwellia%20demingiae%20cell%20size&f=false,
24,Colwellia psychrerythraea,0.5,3.5,um,rod,proteobacteria,https://books.google.co.uk/books?id=5zSYmcq0GdgC&pg=PA453&lpg=PA453&dq=Colwellia+demingiae+cell+size&source=bl&ots=fke1PEk0Jq&sig=GCks8dltnn04MME18nQ_l3xBObk&hl=en&sa=X&ved=0ahUKEwifxNvxyorbAhUqJMAKHRfjClAQ6AEITzAF#v=onepage&q=Colwellia%20demingiae%20cell%20size&f=false,
25,Colwellia psychrotropica,0.8,3.0,um,rod,proteobacteria,https://books.google.co.uk/books?id=5zSYmcq0GdgC&pg=PA453&lpg=PA453&dq=Colwellia+demingiae+cell+size&source=bl&ots=fke1PEk0Jq&sig=GCks8dltnn04MME18nQ_l3xBObk&hl=en&sa=X&ved=0ahUKEwifxNvxyorbAhUqJMAKHRfjClAQ6AEITzAF#v=onepage&q=Colwellia%20demingiae%20cell%20size&f=false,
25,Colwellia psychrotropica,0.4,1.5,um,rod,proteobacteria,https://books.google.co.uk/books?id=5zSYmcq0GdgC&pg=PA453&lpg=PA453&dq=Colwellia+demingiae+cell+size&source=bl&ots=fke1PEk0Jq&sig=GCks8dltnn04MME18nQ_l3xBObk&hl=en&sa=X&ved=0ahUKEwifxNvxyorbAhUqJMAKHRfjClAQ6AEITzAF#v=onepage&q=Colwellia%20demingiae%20cell%20size&f=false,
27,Deferribacter thermophilus,0.3,1.0,um,rod,Deferribacteres,http://ijs.microbiologyresearch.org/content/journal/ijsem/10.1099/00207713-47-2-505,
27,Deferribacter thermophilus,0.5,5.0,um,rod,Deferribacteres,http://ijs.microbiologyresearch.org/content/journal/ijsem/10.1099/00207713-47-2-505,
28,Deinococcus geothermalis,2.0,,um,Spherical,Deinococcus-Thermus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5023248/,4.18879020479
28,Deinococcus geothermalis,1.5,,um,Spherical,Deinococcus-Thermus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5023248/,1.76714586764
29,Deinococcus murrayi,2.0,,um,Spherical,Deinococcus-Thermus,https://books.google.co.uk/books?id=3znhBwAAQBAJ&pg=PA370&lpg=PA370&dq=thermotogaceae+cell+size&source=bl&ots=iAqIJx8wC_&sig=PVgY-4Ga0mAJzpzmsQnfUfXkjEU&hl=en&sa=X&ved=0ahUKEwjEoreSxorbAhXILsAKHaPCA88Q6AEIMjAC#v=snippet&q=Deinococcus%20geothermalis&f=false,4.18879020479
29,Deinococcus murrayi,1.2,,um,Spherical,Deinococcus-Thermus,https://books.google.co.uk/books?id=3znhBwAAQBAJ&pg=PA370&lpg=PA370&dq=thermotogaceae+cell+size&source=bl&ots=iAqIJx8wC_&sig=PVgY-4Ga0mAJzpzmsQnfUfXkjEU&hl=en&sa=X&ved=0ahUKEwjEoreSxorbAhXILsAKHaPCA88Q6AEIMjAC#v=snippet&q=Deinococcus%20geothermalis&f=false,0.904778684234
30,Desulfobacter curvatus,0.5,1.7,um,rod,proteobacteria,https://link.springer.com/content/pdf/10.1007%2FBF00456706.pdf,
30,Desulfobacter curvatus,1.0,3.5,um,rod,proteobacteria,https://link.springer.com/content/pdf/10.1007%2FBF00456706.pdf,
31,Desulfofaba gelida,3.1,6.2,um,rod,proteobacteria,https://books.google.co.uk/books?id=dgejA4wa5R4C&pg=PA324&dq=Rhizobiales&hl=en&sa=X&ved=0ahUKEwiW9_PajpDbAhXmLcAKHcd4DjgQ6AEIMTAB#v=snippet&q=Desulfofaba%20gelida&f=false,
31,Desulfofaba gelida,3.1,5.4,um,rod,proteobacteria,https://books.google.co.uk/books?id=dgejA4wa5R4C&pg=PA324&dq=Rhizobiales&hl=en&sa=X&ved=0ahUKEwiW9_PajpDbAhXmLcAKHcd4DjgQ6AEIMTAB#v=snippet&q=Desulfofaba%20gelida&f=false,
32,Desulfofrigus fragile,0.8,3.2,um,rod,proteobacteria,https://books.google.co.uk/books?id=9cwgo-9IyTUC&pg=PA977&lpg=PA977&dq=Desulfofrigus+oceanense+cell+size&source=bl&ots=lTtbfougYA&sig=4rpA3CrTU5e2uXVWlwzPw1h9H54&hl=en&sa=X&ved=0ahUKEwj46PvYz5bbAhVDxRQKHf4wD-sQ6AEIMzAC#v=onepage&q=Desulfofrigus%20oceanense%20cell%20size&f=false,
32,Desulfofrigus fragile,0.8,4.2,um,rod,proteobacteria,https://books.google.co.uk/books?id=9cwgo-9IyTUC&pg=PA977&lpg=PA977&dq=Desulfofrigus+oceanense+cell+size&source=bl&ots=lTtbfougYA&sig=4rpA3CrTU5e2uXVWlwzPw1h9H54&hl=en&sa=X&ved=0ahUKEwj46PvYz5bbAhVDxRQKHf4wD-sQ6AEIMzAC#v=onepage&q=Desulfofrigus%20oceanense%20cell%20size&f=false,
33,Desulfofrigus oceanense,2.1,6.1,um,rod,proteobacteria,https://books.google.co.uk/books?id=9cwgo-9IyTUC&pg=PA977&lpg=PA977&dq=Desulfofrigus+oceanense+cell+size&source=bl&ots=lTtbfougYA&sig=4rpA3CrTU5e2uXVWlwzPw1h9H54&hl=en&sa=X&ved=0ahUKEwj46PvYz5bbAhVDxRQKHf4wD-sQ6AEIMzAC#v=onepage&q=Desulfofrigus%20oceanense%20cell%20size&f=false,
33,Desulfofrigus oceanense,2.1,4.2,um,rod,proteobacteria,https://books.google.co.uk/books?id=9cwgo-9IyTUC&pg=PA977&lpg=PA977&dq=Desulfofrigus+oceanense+cell+size&source=bl&ots=lTtbfougYA&sig=4rpA3CrTU5e2uXVWlwzPw1h9H54&hl=en&sa=X&ved=0ahUKEwj46PvYz5bbAhVDxRQKHf4wD-sQ6AEIMzAC#v=onepage&q=Desulfofrigus%20oceanense%20cell%20size&f=false,
34,Desulforhopalus vacuolatus,1.5,3.0,um,rod,proteobacteria,https://www.researchgate.net/publication/225671825_Desulforpalus_vacuolatus_gen_nov_sp_nov_a_new_moderately_psychrophilic_sulfate-reducing_bacterium_with_gas_vacuoles_isolated_from_a_temperate_estuary,
34,Desulforhopalus vacuolatus,1.8,5.0,um,rod,proteobacteria,https://www.researchgate.net/publication/225671825_Desulforpalus_vacuolatus_gen_nov_sp_nov_a_new_moderately_psychrophilic_sulfate-reducing_bacterium_with_gas_vacuoles_isolated_from_a_temperate_estuary,
35,Desulfotalea arctica,0.7,1.6,um,rod,proteobacteria,https://bacdive.dsmz.de/search?search=Desulfotalea+arctica&submit=search,
35,Desulfotalea arctica,0.7,2.7,um,rod,proteobacteria,https://bacdive.dsmz.de/search?search=Desulfotalea+arctica&submit=search,
36,Desulfotalea psychrophila,0.6,4.5,um,rod,proteobacteria,https://bacdive.dsmz.de/search?search=Desulfotalea+psychrophila&submit=search,
36,Desulfotalea psychrophila,0.6,7.4,um,rod,proteobacteria,https://bacdive.dsmz.de/search?search=Desulfotalea+psychrophila&submit=search,
37,Desulfotomaculum putei,1.0,2.0,um,oval,firmucutes,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,
37,Desulfotomaculum putei,1.1,5.0,um,oval,firmucutes,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,
38,Desulfuromonas michiganensis,0.4,0.8,um,rod,proteobacteria,http://www.microbiologyresearch.org/docserver/fulltext/ijsem/65/5/1686_ijs000159.pdf?expires=1526902904&id=id&accname=guest&checksum=44CE48144AF9CF34C5D264FA58575AB5,
38,Desulfuromonas michiganensis,0.5,1.4,um,rod,proteobacteria,http://www.microbiologyresearch.org/docserver/fulltext/ijsem/65/5/1686_ijs000159.pdf?expires=1526902904&id=id&accname=guest&checksum=44CE48144AF9CF34C5D264FA58575AB5,
42,Geobacillus caldotenax,0.5,5.0,um,oval,firmucutes,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,
42,Geobacillus caldotenax,0.5,3.0,um,oval,firmucutes,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,
43,Geobacillus stearothermophilus,1.0,3.5,um,rod,firmucutes,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,
43,Geobacillus stearothermophilus,0.6,2.0,um,rod,firmucutes,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,
44,Glaciecola punicea,0.4,5.0,um,rod,proteobacteria,http://www.microbiologyresearch.org/docserver/fulltext/ijsem/48/4/ijs-48-4-1213.pdf?expires=1526915961&id=id&accname=guest&checksum=088CF97C1DF83E51FD1BE8ED3B8D2D3D,
44,Glaciecola punicea,0.2,1.0,um,rod,proteobacteria,http://www.microbiologyresearch.org/docserver/fulltext/ijsem/48/4/ijs-48-4-1213.pdf?expires=1526915961&id=id&accname=guest&checksum=088CF97C1DF83E51FD1BE8ED3B8D2D3D,
45,Halanaerobium alcaliphilum,0.8,5.0,um,rod,firmucutes,"Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes, pg.1198",
45,Halanaerobium alcaliphilum,0.8,3.3,um,rod,firmucutes,"Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes, pg.1198",
46,Halanaerobium lacusrosei,0.6,3.0,um,rod,firmucutes,"Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes, pg.1200",
46,Halanaerobium lacusrosei,0.4,2.0,um,rod,firmucutes,"Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes, pg.1200",
47,Halomonas campisalis,1.0,3.0,um,rod,proteobacteria,https://www.ncbi.nlm.nih.gov/pubmed/10794143,
47,Halomonas campisalis,1.0,5.0,um,rod,proteobacteria,https://www.ncbi.nlm.nih.gov/pubmed/10794143,
48,Halomonas elongata,1.0,3.0,um,rod,proteobacteria,http://www.microbiologyresearch.org/docserver/fulltext/ijsem/51/4/0511457a.pdf?expires=1526917758&id=id&accname=guest&checksum=88E8DCDABD428EA0F6249F0404341F87,
48,Halomonas elongata,0.7,2.0,um,rod,proteobacteria,http://www.microbiologyresearch.org/docserver/fulltext/ijsem/51/4/0511457a.pdf?expires=1526917758&id=id&accname=guest&checksum=88E8DCDABD428EA0F6249F0404341F87,
50,Halomonas subglaciescola,1.1,56.5,um,rod,proteobacteria,http://www.microbiologyresearch.org/docserver/fulltext/ijsem/37/1/ijs-37-1-27.pdf?expires=1526918345&id=id&accname=guest&checksum=BCFA940E8C9D2267ACB4B0C4DE28C1DA,
50,Halomonas subglaciescola,0.5,1.1,um,rod,proteobacteria,http://www.microbiologyresearch.org/docserver/fulltext/ijsem/37/1/ijs-37-1-27.pdf?expires=1526918345&id=id&accname=guest&checksum=BCFA940E8C9D2267ACB4B0C4DE28C1DA,
51,Halonatronum saccharophilum,0.6,10.0,um,rod,firmucutes,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,
51,Halonatronum saccharophilum,0.4,3.5,um,rod,firmucutes,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,
52,Hydrogenophaga pseudoflava,0.6,5.5,um,rod,proteobacteria,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2812990/,
52,Hydrogenophaga pseudoflava,0.3,0.6,um,rod,proteobacteria,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2812990/,
53,Isosphaera pallida,2.5,,um,Spherical,Planctomycetes,https://link.springer.com/article/10.1007/BF00463488,8.18123086872
53,Isosphaera pallida,3.0,,um,Spherical,Planctomycetes,https://link.springer.com/article/10.1007/BF00463488,14.1371669412
54,Klebsiella oxytoca,0.3,0.6,um,rod,proteobacteria,http://www.vetbact.org/index.php?artid=156,
54,Klebsiella oxytoca,1.0,6.0,um,rod,proteobacteria,http://www.vetbact.org/index.php?artid=156,
55,Lactobacillus acidophilus,0.6,1.5,um,rod,firmucutes,https://books.google.co.uk/books?id=0-VqgLiCPFcC&pg=PA500&dq=Lactobacillus+acidophilus+cell+diameter&hl=en&sa=X&ved=0ahUKEwjr5JO5t4rbAhUSe8AKHc_xDKoQ6AEITzAI#v=snippet&q=L.acidophilus%20&f=false,
55,Lactobacillus acidophilus,0.9,6.0,um,rod,firmucutes,https://books.google.co.uk/books?id=0-VqgLiCPFcC&pg=PA500&dq=Lactobacillus+acidophilus+cell+diameter&hl=en&sa=X&ved=0ahUKEwjr5JO5t4rbAhUSe8AKHc_xDKoQ6AEITzAI#v=snippet&q=L.acidophilus%20&f=false,
56,Lactobacillus delbrueckii,0.5,2.0,um,rod,firmucutes,https://hal.archives-ouvertes.fr/hal-00929612/document,
56,Lactobacillus delbrueckii,0.8,9.0,um,rod,firmucutes,https://hal.archives-ouvertes.fr/hal-00929612/document,
57,Lactobacillus paracasei,0.8,2.0,um,rod,firmucutes,"Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes, pg.504",
